	en	fr	pt	es	it	ru	sv	de	ar	is	hu	eo	et
about1	hi! bitsy is a little editor for little games or worlds. the goal is to make it easy to make games where you can walk around and talk to people and be somewhere.	Salut ! Bitsy est un petit moteur de jeu vidéo pour des petits jeux ou des petits mondes. Le but est de rendre accessible la création de jeux dans lesquels tu peux te promener, parler à des personnes et découvrir de nouveaux environnements.	olá! o bitsy é um pequeno editor para pequenos jogos ou mundos. o objectivo é tornar fácil a criação de jogos onde podes mover-te, falar com pessoas e estar em algum lado.	¡Hola! Bitsy es un motor para crear pequeños juegos y mundos. El objetivo es crear juegos fácilmente en cualquier lugar.	 Ciao! Bitsy è un motore concepito per creare piccoli giocchi e mondi. Lo scopo è creare giochi in maniera facile ovunque. 	привет! битси это небольшой редактор для маленьких игр или миров. главная цель этой программы - сделать как можно более лёгким процесс создания игры, в которой ты можешь ходить, разговаривать и просто быть где-то.	hej! bitsy är ett litet verktyg för små spel eller världar. syftet är att det ska vara lätt att göra spel där du kan gå omkring, prata med folk och vara någonstans.	Hi! Bitsy ist ein kleiner Editor für kleine Spiele oder Welten. Ziel ist, möglichst einfach Spiele machen zu können, in denen man umherlaufen, mit Figuren reden und sich irgendwo wiederfinden kann.		hæ! bitsy er tól til að búa til litla leiki eða heima. tilgangur þess er  að auðvelda gerð leikja þar sem þú getur gengið um og talað við  fólk og verið til staðar. 	szia!  a bitsy egy kicsi fejlesztői eszköz pici játékokhoz és apró világokhoz. a cél, hogy segítségével könnyen létrehozhass olyan játékokat, ahol barangolhatsz, beszélgethetsz emberekkel és felfedezhetsz új világokat.	sal! Bitsy estas eta konstruilo por ludetoj aŭ mondetoj. la celo estas faciligi la kreadon de ludoj, en kiuj vi povas marŝi tien kaj tien, alparoli homojn kaj simple esti ie.	
about2	not sure where to start? try this helpful	Tu ne sais pas par où commencer ? Essaie ce 	sem certeza por onde começar? tenta este	¿No sabes por dónde empezar? ¡Prueba este	Non sai da dove cominciare? Da un occhiata a questo	не знаете с чего начать? прочитайте эту замечательую обучающую	Vet du inte var du ska börja? här finns en hjälpsam	Nicht sicher wie du loslegen kannst? Probiere diese hilfreiche		ekki viss um hvar best er að byrja? prófaðu þessa hjálplegu	nem tudod hogyan kezdj neki? akkor kövesd ezt a hasznos	ne certas kie eki? provi ĉi tiun helpegan	
about3_link_tutorial	bitsy tutorial!	tutoriel Bitsy !	tutorial do bitsy!	tutorial de Bitsy!	tutorial di Bitsy! 	статью про битси!	bitsy-guide!	Bitsy Anleitung!		bitsy kennslu!	bitsy segédletet!	Bitsy-gvidilon!	
about4	if you need inspiration, you can	Si tu as besoin d'inspiration, tu peux	se precisares de inspiração, podes	Si necesitas inspiración, puedes	Se hai bisogno d'ispirazione puoi	если вы ищите вдохновения, можете	för att få mer inspiration kan du	Falls du Inspiration suchst, kannst du		ef þig vantar innblástur geturðu	ha inspirációra van szükséged,	se vi bezonas inspiron, vi povas	
about5_link_games	play other bitsy games.	jouer à ces jeux Bitsy.	jogar outros jogos do bitsy.	jugar a otros juegos de Bitsy	giocare altri giochi di Bitsy	сыграть в другие битси-игры.	spela andra bitsy-spel.	andere Bitsy Spiele spielen		spilað aðra bitsy leiki.	játssz más bitsy játékokkal, 	ludi aliajn Bitsy-ludojn	
about6	you can find many on	Tu peux aussi en trouver plein d'autres sur	podes encontrar muitos no	¡Puedes encontrar otros títulos en	Puoi trovare altri titoli in	многие из них можно найти на сайте	du kan hitta många på	Du kannst viele von ihnen finden auf		þú finnur marga slíka á	van egy csomó itt:	vi povas trovi multajn ĉe	
about7_link_itchio	itch.io	itch.io	itch.io	itch.io	itch.io	itch.io	itch.io	itch.io		itch.io	itch.io	itch.io	
about8	, which is a great place to share games!	, qui est un endroit fantastique pour partager des jeux!	, um sítio fantástico para partilhar jogos!	que es un gran lugar para compartir tus creaciones!	che è un bellissimo luogo per condividere le tue creazioni! 	, это отличное место для того, чтобы делиться своими играми!	, ett bra ställe att dela sina spel!	, was auch ein toller Ort ist um deine Spiele zu teilen!		, sem er frábær staður til að deila leikjum!	- ez egy tök jó oldal ahol megoszthatod a játékaidat!	, kiu estas bonega loko por la kundividado de ludoj!	
about9	have fun making things with bitsy!	Amuse-toi bien avec Bitsy!	diverte-te a criar coisas com o bitsy!	¡Diviértete creando en Bitsy! 	Divertiti creando con Bitsy! 	и пусть ваш творческий процесс будет весёлым и захватывающим!	hoppas du har roligt med bitsy!	Viel Spaß beim Basteln mit Bitsy!		skemmtu þér vel við að skapa með bitsy!	jó szórakozást a bitsyhez!	ĝuu kreadi per Bitsy!	
about10_link_twitter	adam	adam	adam	adam	adam	адам	adam	adam		adam	adam	Adam	
instructions_title	instructions	instructions	instruções	instrucciones	istruzioni	инструкции	instruktioner	Anleitung		leiðbeiningar	használati utasítás	instrukcioj	
instructions1	you can draw things in the paint panel, then place them in your world in the room panel. you can write dialog for your characters (aka sprites) too. you can also animate your drawings if you want to!	Tu peux dessiner des choses dans la fenêtre de dessin, puis les placer dans tes mondes dans la fenêtre de salle. Tu peux aussi écrire des dialogues pour tes personnages (tes sprites) . Enfin, tu peux animer tes dessins si tu le souhaites!	podes desenhar coisas no painel de desenho para as poderes colocar no teu mundo usando o painel da sala e escrever diálogos para as tuas personagens (os teus sprites). podes também animar os teus desenhos se quiseres!	puedes dibujar cosas en la caja de pintura, después colócalo en tu mundo en la caja de room. Puedes escribir también diálogos para tus personajes (aka sprites). ¡Ah! Y también puedes animar tus dibujos si quieres! 	Puoi disegnare cose dalla casella di pittura, poi piazzalo nel tuo mondo nella casella di room. Puoi anche scrivere dei dialoghi per i tuoi personaggi (aka sprites). Ah! E puoi anche animare i tuoi disegni se vuoi! 	вы можете создавать изображения (для тайлов, предметов и персонажей) в панели рисования, и затем размещать их в игровом мире в панели комнаты. ещё вы можете писать диалоги для персонажей (спрайтов). вы также можете анимировать рисунки, если захотите!	du kan rita saker i rita-fönstret och sedan sätta in dem i din värld i rum-fönstret. du kan också skriva dialog till dina figurer(sprites), och göra animerade bilder!	Mit dem Zeichnen-Panel, kannst du Dinge zeichnen und anschließend im Räume-Panel in der Welt platzieren. Du kannst auch Dialoge für deine Figuren (Sprites) schreiben. Wenn du magst, kannst du deine Zeichnungen sogar animieren!		þú getur teiknað hluti í teikningasvæðinu og sett þá svo í heiminn þinn í rýmissvæðinu. þú getur líka skrifað samtöl fyrir persónurnar þínar (þ.e. sprotana). það er líka hægt að láta teikningarnar hreyfa sig ef þú vilt!	a rajz panelben bármit megrajzolhatsz, amit aztán elhelyezhetsz a világodban a szoba panel segítségével. itt írhatsz párbeszédeket is a karaktereidnek (más néven sprite-oknak). sőt animálhatod is őket!	vi povas pentri aĵojn ĉe la pentra panelo, kaj tiam meti ilin en vian mondon per la ĉambra panelo. vi krome povas skribi dialogojn por viaj roluloj. vi eĉ povas animacii viajn pentraĵojn!	
instructions2	some words:	vocabulaire :	algumas palavras-chave:	algunas palabras clave: 	alcune parole chiavi	некие слова:	viktiga ord:	Einge Begriffe:		nokkur orð:	néhány kifejezés:	kelkaj vortoj:	
instructions3	room - a place in your game world	salle - un environnement dans ton jeu 	sala - um sítio no teu jogo	room - una sala de tu juego	room - una stanza del tuo gioco	комната - место в игровом мире	rum - en plats i din spel-värld	Raum - Ein Bereich deiner Spielwelt		rými - staður í heiminum þínum	szoba - egy hely a játékod világában	ĉambro - loko en la mondo de via ludo	
instructions4	avatar - the player's character	avatar - le personnage du joueur	avatar - a personagem do jogador	avatar: el personaje del jugador	avatar: il personaggio del giocatore	аватар - персонаж, управляемый игроком	avatar - figuren som spelaren styr	Avatar - Die Spielfigur		leikpeð - persónan sem þú stjórnar	avatár - a játékos karaktere	avataro - la ĉefrolulo	
instructions5	tile - a piece of the scenery	tile - un élément du décor	tile - um elemento do cenário	tile: un elemento del escenario	tile: un'elemento dello scenario	тайл - элемент окружения	ruta- en del av bakgrunden	Tile - Ein Teil des Hintergrundes		flís - hluti af umhverfinu	tile - a környezet egy eleme	kahelo - peco de la pejzaĝo	
instructions6	sprite - interactive characters or things	sprite - un élément ou personnage interactif	sprite - personagens ou coisas com que podes interagir 	sprite: un elemento o personaje interactivo	sprite: un'elemento o personaggio interattivo	спрайт - нечто интерактивное, персонаж или предмет	sprite - interaktiva personer eller saker	Sprite - Interaktive Figuren oder Dinge		sproti - gagnvirk persóna eða hlutur	sprite - interaktív karakterek vagy dolgok	rolulbildo - interagpova ulo aŭ aĵo	
instructions7	to try your game, switch the room to play mode:	Pour essayer ton jeu, clique sur le bouton "jouer" pour passer ta salle en mode jeu : 	para experimentares o teu jogo, muda a sala para o modo de jogo: 	para probar tu juego cambia a modo de juego:	per provare il tuo  gioco cambia a modo di gioco	чтобы протестировать игру, переключите панель комнаты на игровой режим	för att prova ditt rum kan du starta rum-fönstrets spelläge:	Um dein Spiel zu testen, schalte das Räume-Panel in den Spielmodus:		til að prófa leikinn þinn settu þá rýmið á leikstillinguna:	a játékod kipróbálásához, kapcsold a szobát lejátszás módba:	por provi vian ludon, premu la butonon 'ludi'	
instructions8	walk around with the arrow keys	déplace-toi avec les flèches directionnelles 	move-te usando as teclas direccionais	para probar tu juego cambia al modo de juego: 	per provare il tuo gioco cambia a modo di gioco	перемещайтесь в пространстве, используя клавиши со стрелками	gå omkring med piltangenterna	Laufe mit den Pfeiltasten umher		notaðu örvatakkana til að ganga um	mozogni a nyilakkal tudsz	movu la rolulon per la sagoklavoj	
instructions9	talk to sprites by walking up to them	parle aux sprites en marchant vers eux	fala com sprites movendo-te até eles	habla con los sprites acercándote a ellos	parla con gli sprite avvicinandoti a loro	"говорите" со спрайтами, подходя к ним в плотную	gå in i en sprite för att prata med den	Rede mit Sprites indem du an sie trittst		talaðu við sprota með því að ganga upp að þeim	ha sprite-okkal szeretnél beszélni, csak sétálj oda hozzájuk	parolu kun la roluloj almarŝante ilin	
instructions10	you can make multiple rooms, but make sure you add some exits to connect them to each other!	Tu peux faire plusieurs salles, mais fais bien attention d'ajouter des sorties pour les connecter entre elles!	podes criar múltiplas salas, mas não te esqueças de as conectar adicionando algumas saídas 	puedes crear múltiples salas, pero no te olvides de conectarlas añadiendo algunas salidas	puoi creare varii sale, ma poi non dimenticare di aggiungere alcune uscite per collegarle	вы можете создать неограниченное количество комнат, главное не забудьте добавить точки выхода, чтобы соединить их между собой!	du kan göra flera rum, men kom ihåg att koppla ihop dem med utgångar!	Du kannst mehrere Räume anlegen - aber füge Ausgänge hinzu, um sie miteinander verbinden!		þú getur búið til mörg rými en gættu þess að bæta við útgöngum  til að tengja þau saman!	akár több szobát is létrehozhatsz, csak ne felejts el kijáratokat hozzáadni, hogy összekösd őket!	vi povas krei plurajn ĉambrojn, sed nepre aldonu elirejojn por konekti ilin!	
instructions11	use "download game" to download the game as an html file. you can email the file to a friend, or host it online! 	Clique sur "partager mon jeu" pour télécharger ton jeu en fichier html. Tu peux l'envoyer par mail à tes amis ou le mettre en ligne! 	usa a opção de "partilhar jogo" para descarregares o teu jogo como ficheiro html. podes partilhá-lo com um amigo enviando um e-mail ou podes hospedá-lo online! 	usa "compartir juego" para descargarlo como un archivo html. Puedes enviarlo en un mail a un amigo o compartirlo online!	usa "condividere  gioco" per scaricarlo come un file html. Puoi inviarlo attacato da una email o condividerlo online! 	используйте кнопку "загрузить игру", чтобы загрузить вашу игру в формате html-файла. вы можете переслать её друзьям по электронной почте, или опубликовать на сайте!	i fönstret "ladda ned" kan du ladda ned ditt spel som en html-fil. sen kan du maila filen till en vän, eller ladda upp det på internet!	Klick auf "Speichern/Laden" um dein Spiel als html Datei herrunterzuladen. Verschicke die Datei via eMail oder stelle sie woanders online!		notaðu 'hala niður leik' til að hala leiknum niður sem html skjali.  þú getur sent leikinn til vinar með tölvupósti eða setta hann á netið!	a játék letöltése gombbal letöltheted a játékodat html fájlként. utána egyszerűen átküldheted emailben egy barátodnak vagy feltöltheted valahova!	premu 'elŝuti ludon' por elŝuti vian ludon en formato HTML. vi povas sendi ĝin per retmesaĝo aŭ afiŝi ĝin rete!	
instructions12	if you want to talk about bitsy, report a bug, or share a game you made, i'm on twitter 	Si tu veux parler de Bitsy, rapporter un bug ou partager un jeu que tu as fait, je suis sur twitter	se queres falar sobre o bitsy, relatar um erro ou partilhar um jogo que criaste, podes-me encontrar no twitter	si quieres hablar sobre bitsy, reportar un bug, o compartir el juego que has creado, estoy en twitter	se vuoi parlare su Bitsy, reportare un bug o condividere il gioco che hai fatto, sono su twitter a 	если вы хотите обсудить битси, сообщить об ошибке или поделиться игрой, которую вы сделали, вы можете связаться со мной на твиттере	om du vill prata om bitsy, rapportera en bugg, eller visa ditt spel, finns jag på twitter:	Wenn du über Bitsy reden möchtest, einen Fehler entdeckt hast oder ein Spiel von dir teilen magst - Ich bin auf Twitter		ef þú vilt tala um bitsy, tilkynna um villu eða deila leik sem þú bjóst til þá er ég á twitter	ha szeretnél a bitsyről beszélgetni, bugot jelenteni, vagy csak meg akarod osztani velem a játékodat, twitteren megtalálsz itt:	se vi volas paroli pri Bitsy, informi pri cimo, aŭ diskonigi ludon, mi uzas tviteron	
instructions13_link_twitter	@adamledoux	@adamledoux	@adamledoux	@adamledoux	adamledoux	@adamledoux	@adamledoux	@adamledoux		@adamledoux	@adamledoux	@adamledoux	
instructions14	or you can post in the	ou tu peux poster dans le	ou podes postar no	o puedes escribir en	o puoi scrivere nel	или написать	eller så kan du skriva på	oder du schreibst in das		eða þú getur sent á	, vagy kiposztolhatod	aŭ vi povas afiŝi ĝin ĉe la	
instructions15_link_forum	community forum	forum de la communauté	forum da comunidade	el foro de la comunidad	forum della comu nità	на форуме нашего сообщества	vårt forum	Community Forum		spjallsvæðið	a közösségi fórumba	komunuma forumo	
instructions16	special thanks to:	Remerciements spéciaux à :	agradecimentos especiais a:	Agradecimientos especiales a: 	Ringraziamenti speciali a:	отдельная благодарность:	tack till:	Besonderer Dank an:		sérstakar þakkir til:	külön köszönet:	kromajn dankojn al:	
instructions17	mary-margaret	mary-margaret	mary-margaret	mary-margaret	mary-margaret	мэри-маргарет	mary-margaret	mary-margaret		mary-margaret	mary-margaretnek	mary-margaret	
instructions18	seattle game meetup folks	les gens du seattle game meetup	seattle game meetup folks	seattle game meetup folks	seattle game meetup folks	людям с митапа в сиэттле	seattle game meetup folks	seattle game meetup folks		fólksins í seattle game meetup	seattle-i game meetupos arcoknak	la anoj de la ludrenkontiĝo de Seatlo	
instructions19	everyone in the bitsy community!	toutes les personnes de la communauté Bitsy!	toda a gente na comunidade do bitsy!	¡todas las personas que forman la comunidad de Bitsy!	tutte le persone che formano la communità di Bitsy! 	всем, всем, всем из сообщества битси!	alla i bitsy-communityn!	alle in der Bitsy Community!		allra í bitsy-samfélaginu!	mindenkinek a bitsy közösségben!	ĉiuj de la Bitsy-komunumo!	
version_notes_title	what's new in	quoi de neuf	o que há de novo na	qué hay de nuevo	cosa c'è di nuovo	что нового в	nyheter i	Was gibt's Neues in		nýtt í	újdonságok:	kio novas en	
palette_background	background color	couleur du fond	côr de fundo	color de fondo	colore del background	цвет фона	bakgrundsfärg	Hintergrundfarbe		bakgrunnslitur	háttér színe	fona koloro	
palette_tile	tile color	couleur des tiles	côr das tiles	color del tile	colore del tile	цвет тайла	rut-färg	Tile Farbe		flísalitur	tile színe	kahela koloro	
palette_sprite	sprite color	couleur du sprite	côr das sprites	color del sprite	colore dello sprite	цвет спрайта	sprite-färg	Sprite Farbe		sprotalitur	sprite színe	rolulbilda koloro	
palette_tool_advanced	palette select	sélectionner une palette	escolher uma palete	selecciona una paleta	selezionare una paletta	выбрать палитру	välj palett	Ausgewählte Farbpalette		litaval	színpaletta kiválasztása	elekti paletron	
name_label	name	nom	nome	nombre	nome	имя	namn	Name		nafn	név	nomo	
exit_new	place new exit	ajouter une nouvelle sortie	colocar uma nova saída	coloca una nueva salida	piazzare una nuova uscita	расположить новую точку выхода	placera ny utgång	Platziere neuen Ausgang		setja nýja útgönguleið	új kijárat elhelyezése	meti novan elirejon	
exit_selected	selected exit	sortie sélectionnée	saída selecionada	salida seleccionada	uscita selezionata	выбрать точку выхода	vald utgång	Ausgewählter Ausgang		valin útgönguleið	kiválasztott kijárat	elektita elirejo	
exit_selected_none	no exit selected	pas de sortie sélectionnée	não há uma saída selecionada	no has seleccionado una salida	non hai selezionata nessun uscita	не выбрана ни одна точка выхода	ingen vald utgång	Kein Ausgang ausgewählt		engin útgönguleið valin	nincs kijárat kiválasztva	neniu elirejo elektita	
exit_destination	this exit goes to	cette sortie va à	esta saída leva-te a	esta salida te lleva a	questa uscita ti porta a	эта точка выхода ведет к	denna utgång leder till	Dieser Ausgang führt zu		þessi útgönguleið fer til	ez a kijárat idemegy:	ĉi tiu elirejo iras al	
exit_delete	delete selected exit	supprimer la sortie sélectionnée	apagar saída selecionada	borrar salida seleccionada	cancellare uscita selezionata	удалить выбранную точку выхода	ta bort den valda utgången	Ausgewählten Ausgang löschen		eyða valdri útgönguleið	kiválasztott kijárat törlése	forviŝi la elektitan elirejon	
language_label	language	langue	linguagem	idioma	lingua	язык	språk	Sprache		tungumál	nyelv	lingvo	
gif_start	start recording	commencer l'enregistrement	começar gravação	empezar grabación	cominciare registrazione	начать запись	starta inspelning	Aufnahme starten		hefja upptöku	felvétel indítása	ekregistri	
gif_stop	stop recording	arrêter l'enregistrement 	parar gravação	parar grabación	femare registrazione	остановить запись	stoppa inspelning	Aufnahme stoppen		stöðva upptöku	felvétel leállítása	ĉesi registri	
gif_recording	recording...	enregistrement en cours...	a gravar...	grabando...	registrando...	записываю...	spelar in...	Aufnehmen...		upptaka í gangi...	felvétel...	registras...	
gif_encoding	encoding...	encodage en cours...	a codificar...	codificando...	codificando...	кодирую...	kodar...	Verarbeiten...		umrita...	tömörítés	ĉifras...	
gif_snapshot	snapshot	capture d'écran	captura de ecrã	captura	istantanea	снимок	ta en bild	Schnappschuss		skjáskot	pillanatkép	ekranbildo	
gif_download	download gif	télécharger le gif	descarregar gif	descargar gif	scaricare gif	скачать гифку	ladda ned gif	GIF herrunterladen		hala niður gif	gif letöltése	elŝuti GIF-bildon	
avatar_label	avatar	avatar	avatar	avatar	avatar	аватар	avatar	Avatar		leikpeð	avatár	avataro	
tile_label	tile	tile	tile	tile	tile	тайл	ruta	Tile		flís	tile	kahelo	
sprite_label	sprite	sprite  	sprite	sprite	sprite	спрайт	sprite	Sprite		sproti	sprite	rolulbildo	
item_label	item	item	item	item	item	предмет	föremål	Gegenstand		hlutur	tárgy	objekto	
grid_toggle_visible	grid	grille	grelha	grid	grid	сетка	rutnät	Gitter		rúðustrik	négyzetháló	krado	
wall_toggle	wall	mur	parede	pared	muro	стена	vägg	Wand		veggur	fal	muro	
animation_title	animation	animation	animação	animación	animazione	анимация	animation	Animation		hreyfimynd	animáció	animacio	
animation_preview	preview	aperçu 	pré-vizualizar	previsualizar	previsualizzare	предпросмотр	förhandsvisning	Vorschau		sýnishorn	előnézet	antaŭvido	
animation_frame1	frame 1	calque 1	frame 1	frame 1	frame 1	кадр 1	bild 1	Frame 1		rammi 1	1. képkocka	animaciero 1	
animation_frame2	frame 2	calque 2	frame 2	frame 2	frame 2	кадр 2	bild 2	Frame 2		rammi 2	2. képkocka	animaciero 2	
play_game	play	jouer	jogar	jugar	giocare	играть	spela	Spielen		spila	lejátszás	ludi	
room_tool_advanced	room tools	outils d'édition de salle	outras ferramentas para a edição de sala	herramientas de juego	utensili di gioco	инструменты комнаты	rum-verktyg	Raum-Werkzeuge		rýmistól	szoba eszközök	ĉambraj iloj	
walls_toggle_visible	walls	murs	paredes	muros	muri	стены	väggar	Wände		veggir	falak	muroj	
